The Schools extracted from The CSV File
School [Name=﻿Name , Lat=lat , Lng=lng , Rate=rating]
School [Name=Johannesburg Bible College. Soweto Campus , Lat=-26.2569387 , Lng=27.9158981 , Rate=0]
School [Name=Izipho Zomphakathi Multiskills , Lat=-26.2768671 , Lng=27.8648 , Rate=0]
School [Name=Funda Community College , Lat=-26.2577529 , Lng=27.934676 , Rate=4]
School [Name=PC Training & Business College , Lat=-26.258319 , Lng=27.942437 , Rate=0]
School [Name=Teacher Development Centre (Central District D14) , Lat=-26.2660226 , Lng=27.8742959 , Rate=0]
School [Name=Life College Of Learning Westrand , Lat=-26.1919564 , Lng=27.9241679 , Rate=0]
School [Name=JORDAN THEOLOGGICAL INSTITUTE , Lat=-26.202619 , Lng=27.876563 , Rate=0]
School [Name=Lebo Sibi , Lat=-26.2757141 , Lng=27.8117332 , Rate=0]
School [Name=BAM PUBLISHERS (PTY) LTD , Lat=-26.20312 , Lng=27.877507 , Rate=2]
School [Name=Prestige College , Lat=-26.2719769 , Lng=27.7706557 , Rate=0]
School [Name=South West Gauteng College - Roodepoort Campus , Lat=-26.1404831 , Lng=27.8677946 , Rate=2.6]
School [Name=Rhodes FET Technical College , Lat=-26.3203839 , Lng=27.825767 , Rate=3]
School [Name=Johannesburg Bible College , Lat=-26.1893724 , Lng=27.9931137 , Rate=5]
School [Name=St Barnbas College , Lat=-26.1898377 , Lng=27.9517133 , Rate=4.9]
School [Name=Makentse , Lat=-26.2374065 , Lng=27.8078506 , Rate=0]
School [Name=Amadoda Ayasebenza (PTY) LTD , Lat=-26.2548332 , Lng=27.9101229 , Rate=0]
School [Name=Boston City Campus & Business College Roodeport , Lat=-26.13998 , Lng=27.86897 , Rate=4]
School [Name=ROYAL COLLEGE , Lat=-26.171561 , Lng=27.909915 , Rate=4]
School [Name=Greenwich College , Lat=-26.16453 , Lng=27.91637 , Rate=5]
School [Name=UKWAZI SCHOOL OF NURSING , Lat=-26.139497 , Lng=27.8676667 , Rate=4.4]
School [Name=South West Gaugteng College Of Engineer , Lat=-26.1534144 , Lng=27.8595049 , Rate=3]
School [Name=Modise Computer College , Lat=-26.166101 , Lng=27.86832 , Rate=0]
School [Name=Western College TVET , Lat=-26.18854 , Lng=27.67719 , Rate=3.7]
School [Name=I C E Computer College , Lat=-26.15997 , Lng=27.86768 , Rate=0]
School [Name=The Plumbing Academy , Lat=-26.2711408 , Lng=27.8767347 , Rate=1]
School [Name=Jabulani Technical School , Lat=-26.245112 , Lng=27.856508 , Rate=4]
School [Name=INSTITUTE FOR QUALITY , Lat=-26.1722639 , Lng=27.913371 , Rate=4]
School [Name=Saint Barnabas College , Lat=-26.18984 , Lng=27.95108 , Rate=5]
School [Name=CTU Training Solutions Roodepoort , Lat=-26.1429775 , Lng=27.8700032 , Rate=4.7]
School [Name=Oasis Manor , Lat=-26.1916317 , Lng=27.6995557 , Rate=5]
School [Name=LechekoPowerYourMind , Lat=-26.251995 , Lng=27.849839 , Rate=0]
School [Name=LSI College , Lat=-26.150864 , Lng=27.926158 , Rate=4.5]
School [Name=Boston City Campus & Business College , Lat=-26.20666 , Lng=28.04652 , Rate=3]
School [Name=Neksatec , Lat=-26.15733 , Lng=27.90877 , Rate=5]
School [Name=Central Johannesburg College Langlaagte , Lat=-26.2070538 , Lng=27.9882956 , Rate=0]
School [Name=Ann Latsky Nursing College , Lat=-26.1869058 , Lng=27.9899004 , Rate=3.6]
School [Name=Ukwazi Skills Campus Pty Ltd , Lat=-26.13946 , Lng=27.8676727 , Rate=4]
School [Name=INTEC COLLEGE , Lat=-26.195434 , Lng=28.036357 , Rate=1.4]
School [Name=CAREER COMPUTER TRAINING & CALL CENTER TRAINING COLLEGE , Lat=-26.202 , Lng=28.039957 , Rate=4.2]
School [Name=Edutel , Lat=-26.1403891 , Lng=27.8703384 , Rate=0]
School [Name=Calvary Christian College , Lat=-26.2857038 , Lng=27.9920359 , Rate=0]
School [Name=IET Fire Rescue and EMS Academy , Lat=-26.16575 , Lng=27.8626152 , Rate=1.5]
School [Name=Sparrow FET College , Lat=-26.172191 , Lng=27.9848115 , Rate=5]
School [Name=Peter Lengene Community Learning Centre , Lat=-26.2582484 , Lng=27.9161679 , Rate=0]
School [Name=Motekematics Institute for Mathematics , Lat=-26.17548 , Lng=27.79314 , Rate=0]
School [Name=Pq vundla , Lat=-26.263621 , Lng=27.8622817 , Rate=4]
School [Name=Southwest Media College , Lat=-26.192122 , Lng=28.035905 , Rate=3.3]
School [Name=Netcare Training Academy (N.T.A) , Lat=-26.18845 , Lng=28.01271 , Rate=3.8]
School [Name=Sizwile School For Deaf Children , Lat=-26.2154609 , Lng=27.861097 , Rate=4.7]
School [Name=Penguin Aquatic Swim School , Lat=-26.273884 , Lng=27.899241 , Rate=0]
School [Name=Funda UJabule Primary School , Lat=-26.262558 , Lng=27.91509 , Rate=4.7]
School [Name=Little Angels Pre School , Lat=-26.2792495 , Lng=27.8062282 , Rate=3]
School [Name=Zerowa Christian Academy , Lat=-26.2871157 , Lng=27.8960542 , Rate=5]
School [Name=BTC-Soweto , Lat=-26.2591331 , Lng=27.8855981 , Rate=0]
School [Name=reabetswe abby plumbing academy , Lat=-26.264088 , Lng=27.863404 , Rate=1]
School [Name=A.B. Xuma Primary School , Lat=-26.2346784 , Lng=27.9204306 , Rate=3.7]
School [Name=Emadwaleni Secondary School , Lat=-26.2281749 , Lng=27.9174908 , Rate=4.6]
School [Name=Orlando High School , Lat=-26.230698 , Lng=27.926259 , Rate=4]
School [Name=Diepdale Secondary School , Lat=-26.2479409 , Lng=27.937536 , Rate=3.6]
School [Name=Khotso Primary School , Lat=-26.2712909 , Lng=27.851454 , Rate=5]
School [Name=Lethabo Primary School , Lat=-26.24972 , Lng=27.823244 , Rate=3]
School [Name=Freedom Primary School , Lat=-26.2959054 , Lng=27.9294923 , Rate=4]
School [Name=University of Johannesburg: Soweto Campus , Lat=-26.2614269 , Lng=27.922561 , Rate=4.4]
-------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------
The running time in milliseconds for the MERGE SORT is : 0
The Schools extracted from The CSV File: MERGE SORT
